Fast, high quality, attractive photo output, driver stability, inexpensive ink replacement	1
Compact and Stylish	1
super sleek, intuitive, quality build, clear display, many useful features.	1
Multiplicity of modes and features, flexability, DURABILITY!, MOVEABLE LCD-SCREEN!  GREAT PICTURE QUALITY	1
Fast and Hassle Free Printing	1
unbelievable photo quality	1
Fast recycle time, 3Mpixel, thru-lens viewfinder, 6x zoom, software	1
Excellent photo quality on glossy photo paper, seperate ink color cartridges	1
Front AND back faceplates, ringtone composer, calendar, alarm, messaging	1
Inexpensive initially	1
easy to use, small and good pictures	1
Sharp, rich pics; tons of great features; high build quality	1
decent printing speed, good quality (black and color), inexpensive	1
Great quality pics. Very easy to use.  No mistakes	1
It makes calls.	1
high resolution, zoom feature on preview screen, movie function, fast USB transfer, fancy menu/user interface, manual functions (night mode), and the image transfer that automatically sorts the pictures in a web page format by date thus saving a lot of tim	1
relatively inexpensive;, quality pictures;, small;, easy to use	1
Quick. Low ink usage, Easy to set up, Looks, Quiet printing. Reasonable price, Rebate!	1
Light, Durable, Long-lasting Battery	1
excellent speaker phone, durability, easy to use	1
Speed and features.	1
price, quality, ease of use	1
Image quality, versatility, compactness. The best today.	1
Multi-purpose, great design, fast and small	1
Looks cool, Great Display, Very Compact, Good reception.	1
Easy to use. Small enough to fit in pocket. Excellent pictures.	1
Picture quality, easy menu/operation, quick focus/picture time	1
Multifunction	1
Fast and good print quality. Good paper handling.	1
Sleek Phone, Color Screen	1
Nothing	1
Easy to use	1
Smooth ride, easy folding	1
Great features	1
Perfect conversation starter, great viewscreen, easy to use, lightweight, Cool Factor, 12MB native memory, Movies!	1
Small size, user friendly, better reception, ring tones	1
Ease of use, durability, price compared to other 3mpx cameras	1
Great quality, text and picture	1
Charge time, charger size	1
print quality	1
1.3 megapixel, quality shots, easy to use, 3x zoom	1
small and lightweight, easy to use	1
Excellent color reproduction and fine detail reproduction, a lot of features, allows you store uncompressed images, USB interface	1
Sleek, Cool options	1
Convenience, and quality,very seldom static	1
Fast, very clear, very reliable	1
Easy to use, has lens cover!	1
Very user-friendly; excellent print quality.	1
Price	1
Easy to steer - Very lightweight!	1
Low-price printer with readily available accessories	1
All-In-One, Warranty, Quality, Easy-To-Use	1
I enjoy printing out copies using this printer!	1
Polaroid reputation, price	1
sports,	1
Excellant Detail, Easy to use and hook up	1
Excellent reception, Small, sleek	1
The next generation in convergent audio technology	1
Small, Easy To Use, Great LCD	1
Easy to use, great results	1
Lots of great features.	1
It's just so SIMPLE to use!!!	1
Built-in battery charging, great analog controls	1
Print Quality, Price, and Efficiency	1
Price, quality of photos	1
Full Manual or Point&amp;Shoot, My mode, Stunning photographs, High quality, Great lens, Underwater Capability,	1
Small, Sexy	1
neat charger, battery life, memory sticks, games, internet, keypad, camera, all other features...	1
see opinion	1
FULL DUPLEX SPEAKER PHONE (IT WORKS!) WITH ONE TOUCH SPEAKER ACTIVATION- VOICE ACTIVATED DIALING	1
Excellent Image Quality, Professional Features, Options for Lenses	1
Included accessories	1
uses the 3.5 inch floppy disk as storage device, affordable price, rugged design,onscreen battery meter	1
Convenient size. Loud speakerphone. Nice keypad. Color screen.	1
Lots of smart features though does not meet the definition of a smart phone.	1
Excellent picture quality, sturdy, simple, good options, good customer support	1
Very bad camera	1
Quiet, excellent quality for the price, Durable, and a great low price	1
Flat bed floor under 5 month old.	1
Overall Quality	1
Design, functionality and short learning curve	1
Nice quality, Low Cost	1
Light weight, looks good, reasonable price, good reception	1
Great Camera: very reliable and easy to use.  Works with all computers even macs.	1
Very convenient, good pictures. I've been using it for more than three years	1
Great reception, great battery life, overall great phone.	1
Good Idea	1
Small, belt wearable, good reception, good software, vibrate mode, 'outside' led.	1
Awesome low noise / smooth images; great battery life; reasonably fast operation (except startup)	1
Lights on the front	1
Many features for the price and easy to use.	1
Can't think of any	1
everything	1
Great size, Great Pictures, Nikon quality	1
Very good Picture Quality &amp; Fun to Use!	1
Ease of use. Similarity to the 7110	1
Print Quality	1
Good Picture Quality, Optical Zoom, Large LCD	1
Long lasting, durable, compact, good price, not annoying to use/easy to use	1
Easy to use, Cheap camera for beginners	1
Hard to beat for the money.	1
Quiet operation, front load paper feed	1
great print quality, easy to operate	1
Because it is Nokia 8850!Stylish, Durable, Infrared����	1
Easy to use. The functions were simple to figure out.	1
Compact, Flatbed scanner, Flatbed copier, Large inkjet cartridges	1
decent print quality	1
Compact, easy to use, great on-screen photos.	1
Small size, descent size screen	1
optical zoom, integrated flash	1
All in one device, simple and straightforward to use.	1
standard flash-sync port and complete manual controls!	1
Astounding Color, 7  Ink Tanks	1
decent quality, good overall value	1
Manual controls empower you to be creative.	1
Blue tooth,infrared,Modem,VGA Camera, VGA Screen,Video Recorder,Gr8 Picture quality,Tri Band,Speaker Phone &16 MB Memory	1
Small, Stylish, Easy To Use, Crystal Clear!!!!	1
looks nice, easy to maneuver, different seating positions	1
small; lightweight; decent screen	1
exceptionally easy to use, accessories are easy to find	1
cheap, easy to use	1
Point and Shoot Simplicity	1
Small size, external LCD, nice design, voice dialing, cool features	1
easy to use,brand name we all know,best for price	1
Compact size, ease of use, features	1
Great quality - lots of useful options	1
Great Pictures, Awesome Flash, Small size, Easy to use, Inexpensive	1
Reception! Reception! Reception! Simple interface. Large antenna. Inexpensive.	1
Looks neat, Polyphonic Ring Tones	1
ease of use, great clear photos, feels good in the hand	1
Smallest phone around. Great sound. Dual band. Voice dialing.	1
TFT screen,, expandability in memory, viewfinder	1
Trendy, Great Sound, Customizable, Great Camera Quality	1
Quality printing affordable price.  supplies easily obtained and replaced	1
It's got all the functions needed for a basic professional camera.	1
inexpensive and excellant photo quality	1
reception, durability, price, SIZE	1
Reception, battery life, menus	1
A phone you can trust for its functionality and construction	1
Great print quality, diverse paper tray, fast printer, HP warranty and quality, low consumables cost	1
Instant Pictures to share with family on the www	1
ultra compact size, full features, bright display, easy to use menus, mp3 player	1
works with xp, easily adjustable for paper thickness, perfect print quality both text and photo	1
Great price, print quality	1
Uses very little ink so cartridges last, self-cleaning printer head, easy set up.	1
It is not so heavy. maneuverable. Easy to clean. Fits through doors.	1
The only negative side to this camera that I see, is that it has no zoom capability.	1
Size, monochrome LCD screen, ease of use, durability, reception	1
Color Screen, Small size, PTT option	1
It's cheap, and it prints envelopes., Rarely jams up.,	1
Simple, user friendly,prints with good color, and cheap or in my case free.	1
The SUV of strollers.  It will go through anything.	1
Fits right into your pocket, external caller ID, very easy to use	1
small; easy to use	1
Cost effective, good quality	1
Brillian color. Extremely fast.	1
Cheap	1
awesome look,feel and design	1
Small Metal body. Low price. Good picture quality.	1
